select Xtra_Curr.title, count(*) AS theCount
    FROM School_Xtracurr INNER JOIN Xtra_Curr
    ON School_Xtracurr.xtracurr_id = Xtra_Curr.id
    GROUP BY School_Xtracurr.xtracurr_id
    ORDER BY theCount DESC;

title                                                                                                 theCo
---------------------------------------------------------------------------------------------         -----
Student Government                                                                                    216  
Yearbook                                                                                              168  
Dance                                                                                                 157  
Chess                                                                                                 148  
Drama                                                                                                 144  
National Honor Society                                                                                142  
Art                                                                                                   112  
Robotics                                                                                              76   
Peer Tutoring                                                                                         68   
Photography                                                                                           67   
Music                                                                                                 62   
Cheerleading                                                                                          62   
Model UN                                                                                              60   
Student Council                                                                                       58   
Peer Mediation                                                                                        56   
Chorus                                                                                                52   
Newspaper                                                                                             48   
Anime                                                                                                 44   
Mock Trial                                                                                            42   
Step Team                                                                                             41   
Debate Team                                                                                           41   
Community Service                                                                                     41   
School Newspaper                                                                                      39   
Math Team                                                                                             37   
Debate                                                                                                37   
Literary Magazine                                                                                     36   
Yoga                                                                                                  35   
Book                                                                                                  34   
Film                                                                                                  33   
Tutoring                                                                                              31   
SAT Prep                                                                                              30   
Creative Writing                                                                                      29   
Journalism                                                                                            29   
Key Club                                                                                              29   
Guitar                                                                                                27   
Fitness                                                                                               27   
Band                                                                                                  27   
Math                                                                                                  27   
MOUSE Squad                                                                                           26   
Poetry                                                                                                25   
Theater                                                                                               24   
Science                                                                                               23   
Visual Arts                                                                                           23   
Technology                                                                                            22   
Arista                                                                                                22   
Gay-Straight Alliance                                                                                 21   
After-school Tutoring                                                                                 20   
Homework Help                                                                                         19   
Moot Court                                                                                            19   
Step                                                                                                  18   
Dance Team                                                                                            18   
Senior Committee                                                                                      17   
Mentoring                                                                                             17   
Knitting                                                                                              16   
Gay/Straight Alliance                                                                                 15   
School Leadership Team                                                                                15   
Saturday Academy                                                                                      15   
Soccer                                                                                                15   
Peer Mentoring                                                                                        15   
Cooking                                                                                               15   
Computer                                                                                              14   
Yearbook Committee                                                                                    14   
Talent Show                                                                                           14   
SING                                                                                                  14   
Basketball                                                                                            13   
Glee                                                                                                  13   
Student Ambassadors                                                                                   13   
SkillsUSA                                                                                             13   
Fashion                                                                                               13   
Conflict Resolution                                                                                   13   
Leadership                                                                                            13   
Green Team                                                                                            13   
Regents Prep                                                                                          12   
Spanish                                                                                               12   
Martial Arts                                                                                          12   
Digital Photography                                                                                   12   
Science Olympiad                                                                                      12   
Spoken Word                                                                                           12   
Web Design                                                                                            12   
Multicultural                                                                                         12   
Marching Band                                                                                         12   
Choir                                                                                                 11   
Jazz Band                                                                                             11   
French                                                                                                11   
buildOn                                                                                               11   
After-School Tutoring                                                                                 10   
Studio Art                                                                                            10   
Environmental                                                                                         10   
PM School                                                                                             10   
Senior Council                                                                                        10   
Travel                                                                                                9    
Red Cross                                                                                             9    
Culinary Arts                                                                                         9    
SAT Preparation                                                                                       9    
Instrumental Music                                                                                    9    
Video Game                                                                                            9    
ASPIRA                                                                                                9    
Muslim Student Association                                                                            9    
Health Occupations Students of America (HOSA)                                                         9    
Leadership Class                                                                                      8    
Gardening                                                                                             8    
Music Production                                                                                      8    
Dance Company                                                                                         8    
Hip-Hop Dance                                                                                         8    
History                                                                                               8    
Newsletter                                                                                            8    
Track                                                                                                 8    
Handball                                                                                              7    
Painting                                                                                              7    
Student Advisory Council                                                                              7    
Peer Mediation/Conflict Resolution                                                                    7    
Weight Training                                                                                       7    
Student Newspaper                                                                                     7    
Swimming                                                                                              7    
Visual Art                                                                                            7    
Japanese                                                                                              7    
Salsa                                                                                                 7    
Book Club                                                                                             7    
Regents Preparation                                                                                   7    
Gospel Choir                                                                                          7    
Saturday School                                                                                       7    
Fashion Design                                                                                        7    
Culinary                                                                                              7    
Honor Society                                                                                         7    
Digital Media                                                                                         7    
Poetry Slam                                                                                           7    
Model United Nations                                                                                  7    
STEP                                                                                                  6    
Tennis                                                                                                6    
Volleyball                                                                                            6    
Peer Mediation and Conflict Resolution                                                                6    
Fashion Show                                                                                          6    
School Leadership Team (SLT)                                                                          6    
Philosophy                                                                                            6    
Running                                                                                               6    
Graphic Arts                                                                                          6    
Amnesty International                                                                                 6    
Gay Straight Alliance                                                                                 6    
Student Government Association                                                                        6    
Law Team                                                                                              6    
Rock Band                                                                                             6    
Comic Book                                                                                            6    
Gaming                                                                                                6    
Filmmaking                                                                                            6    
Student Government Organization                                                                       6    
Crochet                                                                                               6    
Weightlifting                                                                                         6    
Mock Trial Team                                                                                       6    
Mural Painting                                                                                        6    
Mural                                                                                                 6    
Astronomy                                                                                             6    
International                                                                                         6    
Leadership Program                                                                                    6    
Theatre                                                                                               6    
Service Learning                                                                                      6    
Art Club                                                                                              6    
Virtual Enterprise                                                                                    6    
Media                                                                                                 6    
Video                                                                                                 6    
Peer Mediators                                                                                        6    
Culture                                                                                               6    
Christian                                                                                             6    
Council for Unity                                                                                     5    
Animation                                                                                             5    
Recycling                                                                                             5    
Gay-Straight Alliance (GSA)                                                                           5    
Muslim Students Association                                                                           5    
Arts and Crafts                                                                                       5    
Latin Dance                                                                                           5    
National Honor Society (Arista)                                                                       5    
Hiking                                                                                                5    
Latin                                                                                                 5    
Science Research                                                                                      5    
Tae Kwon Do                                                                                           5    
Chess Club                                                                                            5    
Before- and After-school Tutoring                                                                     5    
Euro Challenge                                                                                        5    
Theater Arts                                                                                          5    
Stock Market Game                                                                                     5    
Academic Enrichment                                                                                   5    
Sculpture                                                                                             5    
Talent Shows                                                                                          5    
Orchestra                                                                                             5    
Architecture                                                                                          5    
Karate                                                                                                5    
Advisory                                                                                              5    
Piano                                                                                                 5    
National Honor Society/Arista                                                                         5    
Youth Court                                                                                           5    
Flag Football                                                                                         5    
Student Leadership Council                                                                            5    
Italian                                                                                               5    
Christian Seekers                                                                                     5    
Law                                                                                                   5    
Spring Musical                                                                                        5    
Chinese                                                                                               5    
National Technical Honor Society                                                                      5    
Student Organization                                                                                  5    
Key                                                                                                   5    
Badminton                                                                                             4    
Chess Team                                                                                            4    
Table Tennis                                                                                          4    
Winter and Spring Concerts                                                                            4    
CUNY College Now                                                                                      4    
School Newsletter                                                                                     4    
Hip-Hop                                                                                               4    
Envirothon                                                                                            4    
Future Business Leaders of America (FBLA)                                                             4    
Mathletes                                                                                             4    
School Play                                                                                           4    
GSA                                                                                                   4    
Glamour Gals                                                                                          4    
Multicultural Club                                                                                    4    
Ballroom Dancing                                                                                      4    
Percussion                                                                                            4    
Computer Programming                                                                                  4    
Video Production                                                                                      4    
Speech and Debate                                                                                     4    
Anime Club                                                                                            4    
Peer Tutors                                                                                           4    
New York Cares                                                                                        4    
Modeling                                                                                              4    
School Yearbook                                                                                       4    
Theatre Arts                                                                                          4    
Sustainability                                                                                        4    
Habitat for Humanity                                                                                  4    
Cheerleaders                                                                                          4    
Chinese Culture                                                                                       4    
Double Dutch                                                                                          4    
Future Business Leaders of America                                                                    4    
Musical Theater                                                                                       4    
Sports                                                                                                4    
