title                                                                        theCount  
---------------------------------------------------------------------------  ----------
Student Government/Council                                                   359       
Tutoring/Prep                                                                345       
Dance                                                                        281       
Drama/Theater                                                                260       
Art                                                                          255       
Academic Society                                                             248       
Yearbook                                                                     205       
Chess                                                                        162       
Journalism                                                                   157       
Leadership Orgs                                                              147       
Music                                                                        133       
Community Service                                                            124       
Conflict Resolution                                                          110       
Debate Team                                                                  103       
Chorus                                                                       102       
Math Team                                                                    99        
Science                                                                      99        
Photography                                                                  93        
Robotics                                                                     91        
Coding                                                                       86        
Step Team                                                                    84        
Band                                                                         75        
Film                                                                         70        
Cheerleading                                                                 66        
Mentoring                                                                    64        
Book Club                                                                    61        
Model UN                                                                     60        
Magazine                                                                     58        
Gay Straight Alliance                                                        55        
Mock Trial                                                                   54        
Anime                                                                        52        
Cooking                                                                      44        
Fitness                                                                      43        
Writing Clubs                                                                42        
Technology                                                                   42        
Fashion                                                                      40        
Yoga                                                                         35        
Guitar                                                                       27        
Poetry                                                                       25        
Muslim Student Association                                                   21        
Environmental Club                                                           20        
Moot Court                                                                   19        
Senior Committee                                                             17        
Knitting                                                                     16        
Saturday Academy                                                             15        
Soccer                                                                       15        
Talent Show                                                                  14        
SING                                                                         14        
Basketball                                                                   13        
Student Ambassadors                                                          13        
SkillsUSA                                                                    13        
Green Team                                                                   13        
Spanish                                                                      12        
Martial Arts                                                                 12        
Spoken Word                                                                  12        
Web Design                                                                   12        
Multicultural                                                                12        
French                                                                       11        
buildOn                                                                      11        
PM School                                                                    10        
Travel                                                                       9         
Red Cross                                                                    9         
Video Game                                                                   9         
ASPIRA                                                                       9         
Health Occupations Students of America (HOSA)                                9         
Gardening                                                                    8         
History                                                                      8         
Newsletter                                                                   8         
Track                                                                        8         
Handball                                                                     7         
Weight Training                                                              7         
Swimming                                                                     7         
Japanese                                                                     7         
Saturday School                                                              7         
Digital Media                                                                7         
Poetry Slam                                                                  7         
Model United Nations                                                         7         
Tennis                                                                       6         
Volleyball                                                                   6         
Philosophy                                                                   6         
Running                                                                      6         
Graphic Arts                                                                 6         
Amnesty International                                                        6         
Law Team                                                                     6         
Gaming                                                                       6         
Crochet                                                                      6         
Weightlifting                                                                6         
Mural                                                                        6         
Astronomy                                                                    6         
International                                                                6         
Virtual Enterprise                                                           6         
Media                                                                        6         
Video                                                                        6         
Peer Mediators                                                               6         
Culture                                                                      6         
Christian                                                                    6         
Animation                                                                    5         
Recycling                                                                    5         
Arts and Crafts                                                              5         
Hiking                                                                       5         
Latin                                                                        5         
Tae Kwon Do                                                                  5         
Euro Challenge                                                               5         
Stock Market Game                                                            5         
Academic Enrichment                                                          5         
Sculpture                                                                    5         
Talent Shows                                                                 5         
Orchestra                                                                    5         
Architecture                                                                 5         
Karate                                                                       5         
Advisory                                                                     5         
Piano                                                                        5         
Youth Court                                                                  5         
Flag Football                                                                5         
Italian                                                                      5         
Christian Seekers                                                            5         
Law                                                                          5         
Spring Musical                                                               5         
Chinese                                                                      5         
Student Organization                                                         5         
Badminton                                                                    4         
Table Tennis                                                                 4         
Winter and Spring Concerts                                                   4         
CUNY College Now                                                             4         
School Newsletter                                                            4         
Hip-Hop                                                                      4         
Envirothon                                                                   4         
Future Business Leaders of America (FBLA)                                    4         
Mathletes                                                                    4         
School Play                                                                  4         
GSA                                                                          4         
Glamour Gals                                                                 4         
Multicultural Club                                                           4         
Ballroom Dancing                                                             4         
Percussion                                                                   4         
Video Production                                                             4         
Peer Tutors                                                                  4         
New York Cares                                                               4         
Modeling                                                                     4         
Sustainability                                                               4         
Habitat for Humanity                                                         4         
Cheerleaders                                                                 4         
Chinese Culture                                                              4         
Double Dutch                                                                 4         
Future Business Leaders of America                                           4         
Sports                                                                       4         
Swimming Club                                                                4         
Prom Committee                                                               4         
Video Editing                                                                4         
Stage Crew                                                                   4         
Ceramics                                                                     4         
Ping-Pong                                                                    4         
Violin                                                                       4         
Food                                                                         4         
Internships                                                                  4         
Performing Arts                                                              4         
SAT                                                                          4         
Seekers                                                                      4         
Explorers                                                                    4         
Drawing                                                                      4         
Guitar Ensemble                                                              4         
Archon                                                                       4         
Pre-Med                                                                      4         
Songwriting                                                                  3         
Asian Culture                                                                3         
Karaoke                                                                      3         
Forensics                                                                    3         
Weight Room                                                                  3         
Baking                                                                       3         
Guitar Club                                                                  3         
Study Hall                                                                   3         
Explorers Program                                                            3         
Black Student Union                                                          3         
Chemistry                                                                    3         
Sponsors for Educational Opportunities (SEO)                                 3         
Board Games                                                                  3         
UNICEF                                                                       3         
Girls Learn International                                                    3         
Jewish Culture                                                               3         
Literary Magazines                                                           3         
Student Senate                                                               3         
Best Buddies                                                                 3         
Teen Talk                                                                    3         
Student Voice Collaborative                                                  3         
Human Rights                                                                 3         
Student Union                                                                3         
Digital Video                                                                3         
Garden                                                                       3         
Cosmetology                                                                  3         
Library Squad                                                                3         
Outdoors                                                                     3         
Physics                                                                      3         
International Club                                                           3         
Skills USA                                                                   3         
College Trips                                                                3         
Judo                                                                         3         
Teen Battle Chef                                                             3         
Bowling                                                                      3         
City Harvest                                                                 3         
Acting                                                                       3         
Poetry Slams                                                                 3         
American Red Cross                                                           3         
Screenwriting                                                                3         
Vocal                                                                        3         
Set Design                                                                   3         
Summer Search                                                                3         
Portfolio Development                                                        3         
Peer Mentors                                                                 3         
National Society of Black Engineers                                          3         
Shakespeare                                                                  3         
Green                                                                        3         
Breast Cancer Walk                                                           3         
Opening Act                                                                  3         
Playwriting                                                                  3         
Tutorials                                                                    3         
Jewish                                                                       3         
Job Shadowing                                                                3         
Graphic Design                                                               3         
SPARK                                                                        3         
Literary Journal                                                             3         
Junior Achievement                                                           3         
Origami                                                                      3         
Spirit Squad                                                                 3         
Intel                                                                        3         
Model Congress                                                               3         
Foreign Language                                                             3         
String Ensemble                                                              3         
Greek                                                                        3         
Poetry/Spoken Word                                                           2         
Ping Pong                                                                    2         
Voice                                                                        2         
Young Entrepreneurs                                                          2         
Green Club                                                                   2         
Peer Leaders                                                                 2         
Ultimate Frisbee                                                             2         
Swim                                                                         2         
